,Player,Season,BA,SLG,launch_angle,sweet_spot_percentage,max_ev,average_ev,fly_ball_line_drive_ev,ground_ball_ev,max_distance,average_distance,average_homerun,hard_hit_95mph+,hard_hit_percentage,hard_hit_swing_percentage,total_barrels,barrels_batted_balls_percentage,barrels_plate_appearance_percentage
429,"Carpenter, Matt",2019,0.226,0.392,19.0,36.2,108.9,88.0,91.8,81.8,442,203,406.0,89,31.1,10.1,21,7.2,4.3
430,"Cooper, Garrett",2019,0.281,0.446,4.5,33.7,113.5,89.1,94.2,85.7,447,151,418.0,110,40.3,13.3,26,9.5,6.2
431,"Correa, Carlos",2018,0.239,0.405,11.6,33.1,112.8,88.2,93.7,84.5,455,164,402.0,101,33.4,12.5,21,7.0,4.5
432,"Dahl, David",2019,0.302,0.524,11.2,40.6,107.1,88.7,93.9,82.4,447,189,405.0,107,39.5,12.8,28,10.3,6.8
433,"Dixon, Brandon",2019,0.248,0.435,16.9,37.5,113.3,89.5,93.3,86.8,447,190,398.0,104,40.8,12.0,29,11.2,6.9
434,"Drury, Brandon",2019,0.218,0.38,13.8,36.7,112.5,86.9,93.2,83.2,426,167,391.0,113,36.7,13.4,28,9.1,6.3
435,"Duvall, Adam",2018,0.195,0.365,22.6,31.0,109.6,89.0,93.5,85.6,441,202,392.0,111,41.6,13.5,28,10.4,6.6
436,"Eaton, Adam",2019,0.279,0.428,15.3,33.9,110.7,88.9,91.6,88.0,444,180,392.0,162,34.3,13.6,18,3.8,2.7
437,"Happ, Ian",2018,0.233,0.408,14.1,39.2,110.5,90.0,93.4,87.8,437,193,400.0,90,40.5,10.8,27,12.2,5.8
438,"Hernández, César",2018,0.253,0.362,11.5,30.0,109.4,85.8,88.8,84.5,441,159,393.0,129,28.6,11.2,19,4.2,2.7
439,"Hernández, Gorkys",2018,0.234,0.391,12.6,29.3,108.5,87.5,92.4,85.5,433,148,403.0,110,35.8,12.3,23,7.5,5.1
440,"Hicks, Aaron",2017,0.266,0.475,11.7,30.0,109.3,86.7,92.8,82.3,436,180,375.0,78,32.5,13.4,18,7.5,5.0
441,"Jones, Adam",2018,0.281,0.419,13.2,35.6,108.1,88.3,91.5,86.9,422,174,396.0,162,33.1,13.6,24,4.9,3.9
442,"Kiermaier, Kevin",2017,0.276,0.45,8.1,28.3,110.9,86.9,91.5,84.4,443,159,410.0,87,30.5,10.8,15,5.2,3.6
443,"LeMahieu, DJ",2018,0.276,0.428,5.9,31.3,109.3,91.3,93.2,90.0,439,163,399.0,198,43.2,21.6,24,5.2,4.1
444,"Moreland, Mitch",2018,0.245,0.433,11.5,33.9,114.3,91.0,95.3,86.7,443,184,417.0,137,44.8,16.8,37,12.1,8.1
445,"Morrison, Logan",2018,0.186,0.368,20.5,36.0,112.6,88.7,94.7,84.1,442,200,407.0,89,38.2,12.8,26,10.9,7.2
446,"Pillar, Kevin",2018,0.252,0.426,16.8,39.3,111.1,87.3,90.9,85.6,440,181,390.0,154,36.7,14.6,24,5.7,4.4
447,"Pollock, AJ",2019,0.266,0.468,13.7,29.8,108.1,90.6,93.8,88.9,429,173,398.0,95,39.9,16.2,19,8.0,5.6
448,"Ramos, Wilson",2018,0.306,0.487,4.5,33.6,113.3,91.3,95.4,89.2,446,150,396.0,145,48.2,18.1,22,7.2,5.3
449,"Reyes, José",2017,0.246,0.413,15.8,32.8,108.4,84.3,88.5,82.4,406,179,384.0,104,24.2,11.1,11,2.6,2.0
450,"Rosario, Amed",2019,0.287,0.432,8.8,34.8,110.3,89.4,91.7,88.2,428,161,396.0,195,39.5,15.6,21,4.2,3.2
451,"Semien, Marcus",2018,0.255,0.388,15.5,34.9,107.1,86.8,91.3,83.3,428,177,393.0,163,32.1,12.9,23,4.5,3.3
452,"Valencia, Danny",2017,0.256,0.411,8.9,31.5,114.0,88.2,92.8,86.2,434,159,404.0,125,37.5,14.6,19,5.7,3.8
453,"Votto, Joey",2019,0.261,0.411,15.2,40.7,109.5,88.9,91.4,85.7,425,194,399.0,151,38.2,14.8,28,6.9,4.6
454,"Avila, Alex",2017,0.264,0.447,12.4,49.7,107.9,91.0,95.7,84.7,443,197,400.0,98,50.8,16.5,29,15.0,7.7
455,"Belt, Brandon",2018,0.253,0.414,23.3,43.9,107.6,87.0,90.5,82.4,429,217,389.0,93,31.6,10.3,31,10.5,6.8
456,"Beltrán, Carlos",2017,0.231,0.383,13.4,29.4,109.6,87.3,91.5,84.8,438,183,397.0,115,31.0,12.5,17,4.6,3.3
457,"Cabrera, Asdrúbal",2017,0.28,0.434,12.0,37.6,105.3,87.2,92.1,83.4,428,175,393.0,134,33.5,13.8,19,4.7,3.5
458,"Crawford, Brandon",2017,0.253,0.403,11.3,34.8,108.5,87.5,92.3,83.9,431,168,391.0,138,33.5,12.4,24,5.8,4.2
459,"Crawford, Brandon",2018,0.254,0.394,11.3,37.2,108.8,87.5,90.6,86.1,436,168,386.0,138,33.3,11.9,15,3.6,2.5
460,"Díaz, Yandy",2019,0.267,0.476,5.7,34.0,114.3,91.7,97.0,89.2,428,162,388.0,112,44.8,19.0,26,10.4,7.5
461,"Duda, Lucas",2018,0.241,0.418,19.6,42.8,114.1,89.5,92.5,86.0,436,212,407.0,84,36.7,12.7,23,10.0,6.3
462,"Gomes, Yan",2017,0.232,0.399,16.2,29.4,110.2,86.4,92.6,81.5,457,174,391.0,80,32.7,10.4,14,5.7,3.7
463,"González, Carlos",2017,0.262,0.423,6.2,28.9,117.1,87.5,93.0,84.7,478,159,415.0,132,37.0,13.6,21,5.9,3.9
464,"Hernández, César",2019,0.279,0.408,9.5,31.8,108.4,86.0,88.5,85.6,424,147,391.0,146,28.3,12.2,14,2.7,2.1
